Error fetching acc data: 'SensorHandler' object has no attribute 'acc_detect_accident'
2024-12-15 20:56:14: Acceleration=9.176780481192736, Status=NORMAL
2024-12-15 20:56:15: Acceleration=10.030837452575932, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.746835383856649, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.900712095602014, Status=NORMAL
2024-12-15 20:56:15: Acceleration=10.44678898035181, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.672052522603463, Status=NORMAL
2024-12-15 20:56:15: Acceleration=9.680671464314859, Status=NORMAL
2024-12-15 20:56:15: Acceleration=8.625688378326682, Status=NORMAL
2024-12-15 20:56:15: Acceleration=8.43097266037555, Status=NORMAL
2024-12-15 20:56:15: Acceleration=11.849194065420653, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.422428390909594, Status=NORMAL
2024-12-15 20:56:16: Acceleration=12.163938506914608, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.226460775850068, Status=NORMAL
2024-12-15 20:56:16: Acceleration=9.614535870233153, Status=NORMAL
2024-12-15 20:56:16: Acceleration=9.452264278996859, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.917572990367411, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.669515557399963, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.985053481890747, Status=NORMAL
2024-12-15 20:56:16: Acceleration=8.590907984607913, Status=NORMAL
2024-12-15 20:56:16: Acceleration=10.154806743606693, Status=NORMAL
2024-12-15 20:56:17: Acceleration=11.014077355820595, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.277397530503528, Status=NORMAL
2024-12-15 20:56:17: Acceleration=8.766418881162364, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.458011283222065, Status=NORMAL
2024-12-15 20:56:17: Acceleration=13.260350674096065, Status=NORMAL
2024-12-15 20:56:17: Acceleration=8.11609512019173, Status=NORMAL
2024-12-15 20:56:17: Acceleration=10.510176021361394, Status=NORMAL
2024-12-15 20:56:17: Acceleration=9.231381261761427, Status=NORMAL
2024-12-15 20:56:17: Acceleration=9.595280089710775, Status=NORMAL
2024-12-15 20:56:17: Acceleration=11.669181633687941, Status=NORMAL
2024-12-15 20:56:18: Acceleration=10.936567103072152, Status=NORMAL
2024-12-15 20:56:18: Acceleration=10.698490547736162, Status=NORMAL
2024-12-15 20:56:18: Acceleration=10.564610735848245, Status=NORMAL
2024-12-15 20:56:18: Acceleration=8.016900897479024, Status=NORMAL
2024-12-15 20:56:18: Acceleration=11.073030298883861, Status=NORMAL
2024-12-15 20:56:18: Acceleration=8.160306366797757, Status=NORMAL
2024-12-15 20:56:18: Acceleration=9.763329350175585, Status=NORMAL
2024-12-15 20:56:18: Acceleration=11.335206217797715, Status=NORMAL
2024-12-15 20:56:18: Acceleration=8.605817799605102, Status=NORMAL
2024-12-15 20:56:18: Acceleration=9.44373866643926, Status=NORMAL
2024-12-15 20:56:19: Acceleration=10.388484008747378, Status=NORMAL
2024-12-15 20:56:19: Acceleration=7.352135744122248, Status=NORMAL
2024-12-15 20:56:19: Acceleration=11.557010859214419, Status=NORMAL
2024-12-15 20:56:19: Acceleration=8.006528586097723, Status=NORMAL
2024-12-15 20:56:19: Acceleration=11.013355528629774, Status=NORMAL
2024-12-15 20:56:19: Acceleration=8.610029035955685, Status=NORMAL
2024-12-15 20:56:19: Acceleration=9.031489356689738, Status=NORMAL
2024-12-15 20:56:19: Acceleration=5.316850571531985, Status=NORMAL
2024-12-15 20:56:19: Acceleration=7.813257963231472, Status=NORMAL
2024-12-15 20:56:19: Acceleration=10.731267399519965, Status=NORMAL
2024-12-15 20:56:20: Acceleration=11.54113079381739, Status=NORMAL
2024-12-15 20:56:20: Acceleration=10.341194321740598, Status=NORMAL
2024-12-15 20:56:20: Acceleration=12.252269177585024, Status=NORMAL
2024-12-15 20:56:20: Acceleration=7.872108993147897, Status=NORMAL
2024-12-15 20:56:20: Acceleration=9.731320568144902, Status=NORMAL
2024-12-15 20:56:20: Acceleration=8.776878716263544, Status=NORMAL
2024-12-15 20:56:20: Acceleration=11.684605256490268, Status=NORMAL
2024-12-15 20:56:20: Acceleration=9.645993987143058, Status=NORMAL
2024-12-15 20:56:20: Acceleration=9.920372976859287, Status=NORMAL
2024-12-15 20:56:20: Acceleration=10.555491461793714, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.43174427134239, Status=NORMAL
2024-12-15 20:56:21: Acceleration=10.331906890792231, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.959066221288017, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.824123370560857, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.795432609129623, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.723425322385111, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.763493227323918, Status=NORMAL
2024-12-15 20:56:21: Acceleration=10.142322219294751, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.554695180904517, Status=NORMAL
2024-12-15 20:56:21: Acceleration=9.83586295146491, Status=NORMAL
2024-12-15 20:56:22: Acceleration=10.303693512522585, Status=NORMAL
2024-12-15 20:56:22: Acceleration=9.95832315201711, Status=NORMAL
2024-12-15 20:56:22: Acceleration=9.560862931765103, Status=NORMAL
2024-12-15 20:56:22: Acceleration=10.139038415944581, Status=NORMAL
2024-12-15 20:56:22: Acceleration=9.456347074848724, Status=NORMAL
2024-12-15 20:56:22: Acceleration=9.401090362293088, Status=NORMAL
2024-12-15 20:56:22: Acceleration=6.81933281193989, Status=NORMAL
2024-12-15 20:56:22: Acceleration=6.171304562246139, Status=NORMAL
2024-12-15 20:56:22: Acceleration=10.26311356265729, Status=NORMAL
