2024-12-15 20:56:09: Acceleration=-3.45, 0.0, -12.75, 1.7, -0.15, 3.06, Velocity is: 2.067721096725135, acc_detect_accident is 13.20851997765079, Status is Normal 
2024-12-15 20:56:09: Acceleration=-2.27, -0.06, -11.94, -0.07, -0.1, 2.18, Velocity is: 2.2574664481388784, acc_detect_accident is 12.154015797258122, Status is Normal 
2024-12-15 20:56:09: Acceleration=0.01, -2.25, -9.43, 1.03, -1.75, 0.3, Velocity is: 2.513603942458619, acc_detect_accident is 9.694715055121527, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.83, -1.86, -9.1, -1.68, 0.33, -0.5, Velocity is: 2.793366311539759, acc_detect_accident is 9.46670481212972, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.88, -1.01, -6.51, -0.82, -0.53, 3.22, Velocity is: 3.221256972441348, acc_detect_accident is 6.850883154747277, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.07, -1.86, -9.16, 0.02, -1.79, -0.3, Velocity is: 3.416117994382788, acc_detect_accident is 9.407980654742016, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.4, -1.52, -10.28, -0.35, -1.04, -0.54, Velocity is: 3.3951986103000924, acc_detect_accident is 10.485647333379088, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.65, -0.22, -12.9, -0.59, 0.25, -3.16, Velocity is: 3.1373697137206347, acc_detect_accident is 13.006955831400367, Status is Normal 
2024-12-15 20:56:10: Acceleration=-0.89, -2.21, -9.81, 0.14, -1.72, -0.07, Velocity is: 2.921422572124111, acc_detect_accident is 10.095162207711176, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.62, -2.03, -7.08, -0.63, -1.53, 2.66, Velocity is: 2.7079572309223257, acc_detect_accident is 7.541332773455896, Status is Normal 
2024-12-15 20:56:10: Acceleration=-1.31, 0.3, -9.28, -0.3, 0.79, 0.45, Velocity is: 2.5711374338211606, acc_detect_accident is 9.376806492617835, Status is Normal 
2024-12-15 20:56:10: Acceleration=0.59, -0.28, -10.58, 1.6, 0.2, -0.84, Velocity is: 2.4157230906746747, acc_detect_accident is 10.600136791570192, Status is Normal 
2024-12-15 20:56:10: Acceleration=-0.78, 0.95, -8.61, 0.27, 1.43, 1.12, Velocity is: 2.5306595931063898, acc_detect_accident is 8.69729843112216, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.72, -0.61, -10.6, -0.65, -0.14, -0.86, Velocity is: 2.5575466962146427, acc_detect_accident is 10.755951840725208, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.96, -0.23, -9.5, -0.46, -1.54, -1.56, Velocity is: 2.3043968471585194, acc_detect_accident is 9.702808871661855, Status is Normal 
2024-12-15 20:56:11: Acceleration=-0.58, 0.81, -9.81, 0.47, 1.25, -0.07, Velocity is: 2.0218856354673216, acc_detect_accident is 9.860456378890381, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.62, -0.39, -10.64, -0.51, 0.02, -0.9, Velocity is: 1.753148155687648, acc_detect_accident is 10.76968430363676, Status is Normal 
2024-12-15 20:56:11: Acceleration=1.3, 0.35, -5.99, 0.6, -0.39, -1.72, Velocity is: 1.3387541048324596, acc_detect_accident is 6.139429940963575, Status is Normal 
2024-12-15 20:56:11: Acceleration=2.11, -1.47, -5.52, 3.25, -1.1, 4.21, Velocity is: 1.3130797580006441, acc_detect_accident is 6.089614109284758, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.44, -0.32, -9.89, -0.27, 0.05, -0.16, Velocity is: 1.3344317357097957, acc_detect_accident is 9.999404982297698, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.39, -1.8, -10.51, 0.79, -0.61, 0.0, Velocity is: 1.4137733129931591, acc_detect_accident is 10.753241371791113, Status is Normal 
2024-12-15 20:56:11: Acceleration=-1.15, -0.59, -8.97, -0.48, -0.64, -0.79, Velocity is: 1.5224684215925435, acc_detect_accident is 9.06264310231844, Status is Normal 
2024-12-15 20:56:12: Acceleration=0.99, -0.9, -10.32, 2.16, -0.51, -0.59, Velocity is: 1.7439565710098288, acc_detect_accident is 10.40636824257147, Status is Normal 
2024-12-15 20:56:12: Acceleration=0.87, -0.74, -8.61, -1.0, 0.62, -0.02, Velocity is: 1.6316052114927082, acc_detect_accident is 8.685424572235949, Status is Normal 
2024-12-15 20:56:12: Acceleration=-1.34, -0.79, -9.14, 0.95, 1.02, -0.95, Velocity is: 1.4856144885855298, acc_detect_accident is 9.271423838871785, Status is Normal 
2024-12-15 20:56:12: Acceleration=0.21, 0.65, -11.33, 1.39, 1.05, -1.6, Velocity is: 1.27876711953329, acc_detect_accident is 11.350572672777352, Status is Normal 
2024-12-15 20:56:12: Acceleration=-1.93, 3.08, -12.33, 1.44, 3.23, 0.55, Velocity is: 1.1751761658929218, acc_detect_accident is 12.854578950708575, Status is Normal 
2024-12-15 20:56:12: Acceleration=-0.54, 1.54, -9.15, 1.53, 1.5, 0.8, Velocity is: 1.4563056107558465, acc_detect_accident is 9.294390781541306, Status is Normal 
2024-12-15 20:56:12: Acceleration=-1.14, 2.16, -9.61, -0.05, 2.61, 0.12, Velocity is: 1.9626975228571375, acc_detect_accident is 9.91550805556629, Status is Normal 
2024-12-15 20:56:12: Acceleration=-0.85, 2.6, -10.57, -0.92, 0.02, 2.06, Velocity is: 2.412499226106123, acc_detect_accident is 10.918214139684201, Status is Normal 
2024-12-15 20:56:12: Acceleration=-0.35, 0.98, -8.71, -0.17, 0.49, 0.17, Velocity is: 2.7723869896699838, acc_detect_accident is 8.771943912269391, Status is Normal 
2024-12-15 20:56:12: Acceleration=-2.76, 0.33, -10.06, 0.61, 0.13, 0.5, Velocity is: 2.933214501595467, acc_detect_accident is 10.436958369180172, Status is Normal 
2024-12-15 20:56:13: Acceleration=0.05, -0.72, -8.8, 0.0, 1.41, -1.28, Velocity is: 3.0279033170160976, acc_detect_accident is 8.829546987246855, Status is Normal 
2024-12-15 20:56:13: Acceleration=-0.8, -0.79, -12.9, 0.6, -0.66, 3.55, Velocity is: 2.9571412403826565, acc_detect_accident is 12.948903428476097, Status is Normal 
2024-12-15 20:56:13: Acceleration=-0.2, -1.7, -8.74, 0.85, -1.25, 0.99, Velocity is: 2.880303742195259, acc_detect_accident is 8.90604289232878, Status is Normal 
2024-12-15 20:56:13: Acceleration=-2.67, -1.48, -6.67, -0.8, -1.13, 0.15, Velocity is: 2.702737959553903, acc_detect_accident is 7.3354072824895, Status is Normal 
2024-12-15 20:56:13: Acceleration=-1.5, -0.69, -10.24, 0.17, -0.16, 0.6, Velocity is: 2.505621105969075, acc_detect_accident is 10.372256263706563, Status is Normal 
2024-12-15 20:56:13: Acceleration=0.29, -1.58, -6.96, 1.37, -1.11, 2.76, Velocity is: 2.3356896045235565, acc_detect_accident is 7.142975570446815, Status is Normal 
2024-12-15 20:56:13: Acceleration=-1.66, 1.41, -7.88, -0.24, -0.28, 0.05, Velocity is: 2.222707105014159, acc_detect_accident is 8.175457173760988, Status is Normal 
2024-12-15 20:56:13: Acceleration=-2.09, -2.93, -10.95, -0.42, 0.03, -0.34, Velocity is: 2.1174884327782855, acc_detect_accident is 11.526296022573773, Status is Normal 
2024-12-15 20:56:13: Acceleration=-0.58, -1.69, -14.34, 0.49, -1.2, -4.61, Velocity is: 1.9610425152198971, acc_detect_accident is 14.450885785999416, Status is Normal 
2024-12-15 20:56:13: Acceleration=0.87, -3.75, -10.24, -0.55, 2.94, 2.07, Velocity is: 1.8998834258697859, acc_detect_accident is 10.93969835050309, Status is Normal 
2024-12-15 20:56:14: Acceleration=0.07, -3.11, -11.26, -1.36, 0.45, -0.19, Velocity is: 1.6608102650074172, acc_detect_accident is 11.681806367167708, Status is Normal 
2024-12-15 20:56:14: Acceleration=-0.76, 1.53, -10.99, 0.8, -0.46, 0.29, Velocity is: 1.48620644761374, acc_detect_accident is 11.121987232504809, Status is Normal 
2024-12-15 20:56:14: Acceleration=2.11, -1.53, -13.03, -0.28, -0.91, 0.83, Velocity is: 1.3962866779615477, acc_detect_accident is 13.28811122771028, Status is Normal 
2024-12-15 20:56:14: Acceleration=-2.22, 0.35, -10.9, 0.39, 0.13, -1.76, Velocity is: 1.3743750177741634, acc_detect_accident is 11.129281198711801, Status is Normal 
2024-12-15 20:56:14: Acceleration=0.89, -2.87, -10.61, 1.93, -2.43, -0.87, Velocity is: 1.2411480683536558, acc_detect_accident is 11.027288878051577, Status is Normal 
2024-12-15 20:56:14: Acceleration=-1.59, -1.95, -9.47, -0.58, -1.49, 0.26, Velocity is: 1.1265862275489402, acc_detect_accident is 9.798545810476165, Status is Normal 
2024-12-15 20:56:14: Acceleration=-2.32, 0.0, -8.93, 0.88, -1.83, 0.74, Velocity is: 1.3107660087307536, acc_detect_accident is 9.2264456861784, Status is Normal 
2024-12-15 20:56:14: Acceleration=-0.01, -2.42, -10.75, 0.96, -1.93, -1.0, Velocity is: 1.704354396960499, acc_detect_accident is 11.019028995333482, Status is Normal 
2024-12-15 20:56:14: Acceleration=-0.25, -0.88, -10.48, 0.68, -0.38, -0.73, Velocity is: 2.1717862369908576, acc_detect_accident is 10.519852660565167, Status is Normal 
2024-12-15 20:56:14: Acceleration=-1.99, -4.96, -7.46, -1.05, -4.45, 2.28, Velocity is: 2.6163458550497842, acc_detect_accident is 9.176780481192736, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.08, -2.23, -9.72, -0.16, -1.72, 0.02, Velocity is: 3.1237245734049455, acc_detect_accident is 10.030837452575932, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.14, -1.64, -9.54, -0.22, -1.08, 0.2, Velocity is: 3.548108044638381, acc_detect_accident is 9.746835383856649, Status is Normal 
2024-12-15 20:56:15: Acceleration=-0.95, -1.04, -9.8, -0.03, -0.49, -0.05, Velocity is: 3.863106215207267, acc_detect_accident is 9.900712095602014, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.08, -0.13, -10.39, -0.16, 0.41, -0.64, Velocity is: 4.109925020353509, acc_detect_accident is 10.44678898035181, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.26, -1.51, -9.47, -0.33, -0.96, 0.27, Velocity is: 4.140829704084407, acc_detect_accident is 9.672052522603463, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.63, -3.39, -8.92, -0.7, -2.84, 0.82, Velocity is: 4.241032036417058, acc_detect_accident is 9.680671464314859, Status is Normal 
2024-12-15 20:56:15: Acceleration=-0.42, -1.06, -8.55, 0.0, 2.28, 0.58, Velocity is: 4.11914379638742, acc_detect_accident is 8.625688378326682, Status is Normal 
2024-12-15 20:56:15: Acceleration=-0.62, 0.8, -8.37, 0.28, 1.34, 1.37, Velocity is: 3.9014290874082382, acc_detect_accident is 8.43097266037555, Status is Normal 
2024-12-15 20:56:15: Acceleration=-1.35, 0.72, -11.75, -0.41, 1.24, -2.0, Velocity is: 3.6206921350820007, acc_detect_accident is 11.849194065420653, Status is Normal 
2024-12-15 20:56:15: Acceleration=1.46, -1.49, -8.16, 2.41, -0.97, 1.58, Velocity is: 3.3879403538328234, acc_detect_accident is 8.422428390909594, Status is Normal 
2024-12-15 20:56:16: Acceleration=-1.98, -0.53, -11.99, -0.35, -0.87, 1.56, Velocity is: 3.045827674868738, acc_detect_accident is 12.163938506914608, Status is Normal 
2024-12-15 20:56:16: Acceleration=-0.62, 0.6, -10.19, 0.36, 1.12, -0.45, Velocity is: 2.8153393899728223, acc_detect_accident is 10.226460775850068, Status is Normal 
2024-12-15 20:56:16: Acceleration=-0.26, 0.14, -9.61, 0.01, 0.6, -0.96, Velocity is: 2.6497455547462176, acc_detect_accident is 9.614535870233153, Status is Normal 
2024-12-15 20:56:16: Acceleration=-0.24, 0.86, -9.41, -0.56, 1.01, 0.5, Velocity is: 2.5120209815345023, acc_detect_accident is 9.452264278996859, Status is Normal 
2024-12-15 20:56:16: Acceleration=-1.77, -0.26, -10.77, -0.7, 0.24, -1.04, Velocity is: 2.2195665978487984, acc_detect_accident is 10.917572990367411, Status is Normal 
2024-12-15 20:56:16: Acceleration=-0.49, -0.98, -8.6, 1.02, -0.97, 1.58, Velocity is: 1.9842769612174282, acc_detect_accident is 8.669515557399963, Status is Normal 
2024-12-15 20:56:16: Acceleration=-1.79, -3.28, -10.33, 0.23, 0.2, -1.6, Velocity is: 1.8186844273212825, acc_detect_accident is 10.985053481890747, Status is Normal 
2024-12-15 20:56:16: Acceleration=-0.66, -3.45, -7.84, 0.39, -2.92, 1.88, Velocity is: 1.8786143699801596, acc_detect_accident is 8.590907984607913, Status is Normal 
2024-12-15 20:56:16: Acceleration=-1.62, -1.81, -9.86, 0.12, -0.1, 3.17, Velocity is: 2.0371640996162914, acc_detect_accident is 10.154806743606693, Status is Normal 
2024-12-15 20:56:16: Acceleration=-2.01, 1.13, -10.77, 1.14, -1.96, 0.75, Velocity is: 2.4109082787073657, acc_detect_accident is 11.014077355820595, Status is Normal 
2024-12-15 20:56:17: Acceleration=-2.96, 1.48, -9.73, -1.9, 2.03, 0.0, Velocity is: 2.5220921971070016, acc_detect_accident is 10.277397530503528, Status is Normal 
2024-12-15 20:56:17: Acceleration=0.06, -0.33, -8.76, -0.19, 2.3, -0.06, Velocity is: 2.566920218045512, acc_detect_accident is 8.766418881162364, Status is Normal 
2024-12-15 20:56:17: Acceleration=-1.32, 1.24, -10.3, 1.06, -0.16, 1.02, Velocity is: 2.476938438077115, acc_detect_accident is 10.458011283222065, Status is Normal 
2024-12-15 20:56:17: Acceleration=-3.88, 0.01, -12.68, 3.26, 0.5, 2.87, Velocity is: 2.4898804294706665, acc_detect_accident is 13.260350674096065, Status is Normal 
2024-12-15 20:56:17: Acceleration=1.01, -0.22, -8.05, -0.75, -0.33, -1.17, Velocity is: 2.3535579085803966, acc_detect_accident is 8.11609512019173, Status is Normal 
2024-12-15 20:56:17: Acceleration=-1.49, -0.54, -10.39, -0.68, 0.46, 1.01, Velocity is: 2.4207882294591894, acc_detect_accident is 10.510176021361394, Status is Normal 
2024-12-15 20:56:17: Acceleration=-1.72, 0.42, -9.06, -0.72, 0.95, 0.67, Velocity is: 2.574633096758239, acc_detect_accident is 9.231381261761427, Status is Normal 
2024-12-15 20:56:17: Acceleration=-1.01, -2.42, -9.23, 1.62, -2.21, 1.76, Velocity is: 2.83824637647776, acc_detect_accident is 9.595280089710775, Status is Normal 
2024-12-15 20:56:17: Acceleration=0.96, 2.79, -11.29, 2.51, -4.23, 3.74, Velocity is: 3.2205575792124526, acc_detect_accident is 11.669181633687941, Status is Normal 
2024-12-15 20:56:17: Acceleration=-1.7, 0.97, -10.76, 1.67, -0.58, 2.5, Velocity is: 3.8804342990429093, acc_detect_accident is 10.936567103072152, Status is Normal 
2024-12-15 20:56:18: Acceleration=-0.69, -1.7, -10.54, 0.26, -1.18, -0.8, Velocity is: 4.485892996935328, acc_detect_accident is 10.698490547736162, Status is Normal 
2024-12-15 20:56:18: Acceleration=0.29, -1.13, -10.5, -1.16, -1.61, 0.53, Velocity is: 5.131157006304363, acc_detect_accident is 10.564610735848245, Status is Normal 
2024-12-15 20:56:18: Acceleration=-1.97, -0.13, -7.77, -0.94, 2.11, -0.01, Velocity is: 5.441514977851597, acc_detect_accident is 8.016900897479024, Status is Normal 
2024-12-15 20:56:18: Acceleration=-0.88, 1.74, -10.9, -0.74, -1.36, 1.62, Velocity is: 5.440725817115085, acc_detect_accident is 11.073030298883861, Status is Normal 
2024-12-15 20:56:18: Acceleration=-0.07, -0.01, -8.16, -1.75, 3.0, 0.9, Velocity is: 5.1480093715331545, acc_detect_accident is 8.160306366797757, Status is Normal 
2024-12-15 20:56:18: Acceleration=-0.59, 1.43, -9.64, 0.27, 1.9, -0.05, Velocity is: 4.836469493665332, acc_detect_accident is 9.763329350175585, Status is Normal 
2024-12-15 20:56:18: Acceleration=-1.12, 1.42, -11.19, -0.51, 1.7, 1.87, Velocity is: 4.593368257607065, acc_detect_accident is 11.335206217797715, Status is Normal 
2024-12-15 20:56:18: Acceleration=4.08, -0.51, -7.56, 5.08, 0.0, 2.17, Velocity is: 4.711376382811786, acc_detect_accident is 8.605817799605102, Status is Normal 
2024-12-15 20:56:18: Acceleration=-1.92, 2.93, -8.77, -0.61, -0.64, -1.62, Velocity is: 4.653213191317497, acc_detect_accident is 9.44373866643926, Status is Normal 
2024-12-15 20:56:18: Acceleration=-2.01, 1.03, -10.14, 0.34, 1.02, 0.11, Velocity is: 4.644071771003178, acc_detect_accident is 10.388484008747378, Status is Normal 
2024-12-15 20:56:19: Acceleration=-1.13, 0.71, -7.23, -0.12, 1.21, 2.5, Velocity is: 4.821715042026738, acc_detect_accident is 7.352135744122248, Status is Normal 
2024-12-15 20:56:19: Acceleration=4.32, -4.11, -9.9, 5.32, -3.61, -0.15, Velocity is: 5.051959467179816, acc_detect_accident is 11.557010859214419, Status is Normal 
2024-12-15 20:56:19: Acceleration=-0.5, -0.12, -7.99, 1.1, 0.57, 0.66, Velocity is: 5.090572239494633, acc_detect_accident is 8.006528586097723, Status is Normal 
2024-12-15 20:56:19: Acceleration=-1.14, -3.5, -10.38, -1.59, -0.8, -1.03, Velocity is: 5.142096863500481, acc_detect_accident is 11.013355528629774, Status is Normal 
2024-12-15 20:56:19: Acceleration=-0.41, 0.42, -8.59, 0.59, 0.95, 1.14, Velocity is: 5.267599396530891, acc_detect_accident is 8.610029035955685, Status is Normal 
2024-12-15 20:56:19: Acceleration=-1.58, -1.05, -8.83, -0.65, -1.31, 0.56, Velocity is: 5.264739049532579, acc_detect_accident is 9.031489356689738, Status is Normal 
2024-12-15 20:56:19: Acceleration=-0.02, 1.01, -5.22, -1.34, -1.09, -1.69, Velocity is: 4.923069315369226, acc_detect_accident is 5.316850571531985, Status is Normal 
2024-12-15 20:56:19: Acceleration=0.65, 1.22, -7.69, 1.69, 1.77, 2.04, Velocity is: 4.681487325455347, acc_detect_accident is 7.813257963231472, Status is Normal 
2024-12-15 20:56:19: Acceleration=-0.35, -0.74, -10.7, 1.29, -1.24, 0.1, Velocity is: 4.630956076870062, acc_detect_accident is 10.731267399519965, Status is Normal 
2024-12-15 20:56:19: Acceleration=-0.97, -3.42, -10.98, -1.93, 3.14, -0.71, Velocity is: 4.36248658808902, acc_detect_accident is 11.54113079381739, Status is Normal 
2024-12-15 20:56:20: Acceleration=-1.01, -0.19, -10.29, 0.03, 0.31, -0.55, Velocity is: 4.098537318197278, acc_detect_accident is 10.341194321740598, Status is Normal 
2024-12-15 20:56:20: Acceleration=-1.5, -0.05, -12.16, 0.46, -0.42, 1.05, Velocity is: 4.0632346511591155, acc_detect_accident is 12.252269177585024, Status is Normal 
2024-12-15 20:56:20: Acceleration=-0.79, -2.12, -7.54, -2.09, 2.25, -0.05, Velocity is: 3.773655441865376, acc_detect_accident is 7.872108993147897, Status is Normal 
2024-12-15 20:56:20: Acceleration=-3.17, -2.09, -8.96, -2.12, -1.58, 0.77, Velocity is: 3.4192236520892885, acc_detect_accident is 9.731320568144902, Status is Normal 
2024-12-15 20:56:20: Acceleration=-0.44, -0.32, -8.76, 0.02, -0.55, -1.42, Velocity is: 3.139414428604249, acc_detect_accident is 8.776878716263544, Status is Normal 
2024-12-15 20:56:20: Acceleration=-2.8, -1.0, -11.3, -0.01, -0.41, 0.86, Velocity is: 2.9696518829473266, acc_detect_accident is 11.684605256490268, Status is Normal 
2024-12-15 20:56:20: Acceleration=-1.92, -1.58, -9.32, 1.42, -1.49, 0.33, Velocity is: 2.7679621241408254, acc_detect_accident is 9.645993987143058, Status is Normal 
2024-12-15 20:56:20: Acceleration=-2.48, -1.03, -9.55, 0.87, -0.1, 2.18, Velocity is: 2.811510640360505, acc_detect_accident is 9.920372976859287, Status is Normal 
2024-12-15 20:56:20: Acceleration=-1.02, -0.74, -10.48, 1.29, -0.34, 0.25, Velocity is: 2.8839426811842457, acc_detect_accident is 10.555491461793714, Status is Normal 
2024-12-15 20:56:20: Acceleration=-2.17, 0.4, -9.17, -1.14, 0.91, 0.56, Velocity is: 3.065504200364736, acc_detect_accident is 9.43174427134239, Status is Normal 
2024-12-15 20:56:21: Acceleration=-0.99, -1.39, -10.19, -1.01, -0.61, 0.19, Velocity is: 3.1731269837833027, acc_detect_accident is 10.331906890792231, Status is Normal 
2024-12-15 20:56:21: Acceleration=-0.94, -1.13, -9.85, -0.46, -0.5, 0.04, Velocity is: 3.224567504160621, acc_detect_accident is 9.959066221288017, Status is Normal 
2024-12-15 20:56:21: Acceleration=-1.11, -0.78, -9.73, 0.25, -0.08, 0.0, Velocity is: 3.110321603583887, acc_detect_accident is 9.824123370560857, Status is Normal 
2024-12-15 20:56:21: Acceleration=-1.22, -0.61, -9.7, 0.13, -0.03, -0.02, Velocity is: 2.967571607607254, acc_detect_accident is 9.795432609129623, Status is Normal 
2024-12-15 20:56:21: Acceleration=-0.85, -0.56, -9.67, -0.05, 0.29, -0.15, Velocity is: 2.8025897097623287, acc_detect_accident is 9.723425322385111, Status is Normal 
